dataset;classifier;ensemble-method;feature-count;auc-score;auc-std;accu-score;accu-std
obesity;random-forest;union;261;0.674;0.07;0.637;0.031
obesity;random-forest;at-least-in-2;98;0.702;0.104;0.668;0.027
obesity;random-forest;at-least-in-3;36;0.718;0.096;0.707;0.069
obesity;random-forest;at-least-in-4;8;0.664;0.091;0.652;0.061
obesity;random-forest;at-least-in-5;4;0.651;0.077;0.629;0.045
cirrhosis;random-forest;union;299;0.956;0.042;0.875;0.058
cirrhosis;random-forest;at-least-in-2;150;0.955;0.037;0.88;0.068
cirrhosis;random-forest;at-least-in-3;84;0.962;0.034;0.875;0.064
cirrhosis;random-forest;at-least-in-4;54;0.958;0.039;0.862;0.071
cirrhosis;random-forest;at-least-in-5;32;0.95;0.042;0.88;0.065
cirrhosis;random-forest;at-least-in-6;17;0.943;0.048;0.875;0.049
crc;random-forest;union;227;0.899;0.131;0.835;0.075
crc;random-forest;at-least-in-2;79;0.907;0.093;0.826;0.095
crc;random-forest;at-least-in-3;36;0.904;0.086;0.843;0.095
crc;random-forest;at-least-in-4;18;0.918;0.085;0.86;0.124
crc;random-forest;at-least-in-5;12;0.929;0.072;0.843;0.126
crc;random-forest;at-least-in-6;2;0.777;0.113;0.785;0.094
ibd;random-forest;union;349;0.949;0.061;0.856;0.067
ibd;random-forest;at-least-in-2;171;0.954;0.061;0.864;0.062
ibd;random-forest;at-least-in-3;93;0.951;0.066;0.866;0.063
ibd;random-forest;at-least-in-4;58;0.954;0.063;0.866;0.079
ibd;random-forest;at-least-in-5;41;0.952;0.057;0.86;0.081
ibd;random-forest;at-least-in-6;23;0.931;0.062;0.819;0.098
ibd;random-forest;top-30%;107;0.953;0.059;0.87;0.066
ibd;random-forest;top-20%;78;0.951;0.062;0.86;0.072
ibd;random-forest;top-10%;37;0.952;0.059;0.858;0.079
t2d;random-forest;union;310;0.741;0.055;0.672;0.053
t2d;random-forest;at-least-in-2;145;0.749;0.068;0.666;0.062
t2d;random-forest;at-least-in-3;60;0.748;0.071;0.689;0.039
t2d;random-forest;at-least-in-4;20;0.763;0.068;0.71;0.053
t2d;random-forest;at-least-in-5;9;0.766;0.06;0.683;0.051
t2d;random-forest;at-least-in-6;2;0.627;0.11;0.602;0.071
t2d;random-forest;top-30%;114;0.768;0.064;0.686;0.061
t2d;random-forest;top-20%;62;0.765;0.065;0.698;0.073
t2d;random-forest;top-10%;34;0.763;0.077;0.713;0.071
wt2d;random-forest;union;253;0.778;0.121;0.718;0.121
wt2d;random-forest;at-least-in-2;112;0.83;0.076;0.76;0.091
wt2d;random-forest;at-least-in-3;33;0.864;0.082;0.836;0.102
wt2d;random-forest;at-least-in-4;13;0.878;0.088;0.804;0.102
wt2d;random-forest;at-least-in-5;4;0.749;0.132;0.7;0.122
wt2d;random-forest;top-30%;77;0.864;0.077;0.782;0.081
wt2d;random-forest;top-20%;54;0.87;0.103;0.794;0.109
wt2d;random-forest;top-10%;28;0.862;0.092;0.814;0.085
obesity;random-forest;top-30%;83;0.727;0.096;0.692;0.045
obesity;random-forest;top-20%;59;0.719;0.074;0.699;0.058
obesity;random-forest;top-10%;27;0.711;0.092;0.676;0.071
cirrhosis;random-forest;top-30%;96;0.957;0.042;0.871;0.059
cirrhosis;random-forest;top-20%;62;0.959;0.04;0.867;0.054
cirrhosis;random-forest;top-10%;31;0.956;0.039;0.888;0.06
crc;random-forest;top-30%;72;0.908;0.107;0.826;0.079
crc;random-forest;top-20%;48;0.906;0.094;0.835;0.065
crc;random-forest;top-10%;29;0.906;0.101;0.851;0.097
t2d-train-wt2d-test;random-forest;union;226;0.516;0;0.531;0
t2d-train-wt2d-test;random-forest;at-least-in-2;118;0.53;0;0.542;0
t2d-train-wt2d-test;random-forest;at-least-in-3;52;0.512;0;0.531;0
t2d-train-wt2d-test;random-forest;at-least-in-4;22;0.566;0;0.562;0
t2d-train-wt2d-test;random-forest;at-least-in-5;10;0.548;0;0.521;0
t2d-train-wt2d-test;random-forest;at-least-in-6;4;0.541;0;0.542;0
t2d-train-wt2d-test;random-forest;top-30%;88;0.59;0;0.594;0
t2d-train-wt2d-test;random-forest;top-20%;58;0.633;0;0.646;0
t2d-train-wt2d-test;random-forest;top-10%;33;0.569;0;0.573;0
t2d-train-wt2d-test;random-forest-default;union;226;0.502;0;0.521;0
t2d-train-wt2d-test;random-forest-default;at-least-in-2;118;0.493;0;0.51;0
t2d-train-wt2d-test;random-forest-default;at-least-in-3;52;0.535;0;0.552;0
t2d-train-wt2d-test;random-forest-default;at-least-in-4;22;0.561;0;0.552;0
t2d-train-wt2d-test;random-forest-default;at-least-in-5;10;0.511;0;0.479;0
t2d-train-wt2d-test;random-forest-default;at-least-in-6;4;0.539;0;0.542;0
t2d-train-wt2d-test;random-forest-default;top-30%;88;0.584;0;0.594;0
t2d-train-wt2d-test;random-forest-default;top-20%;58;0.612;0;0.625;0
t2d-train-wt2d-test;random-forest-default;top-10%;33;0.539;0;0.552;0
wt2d-train-t2d-test;random-forest-default;union;226;0.534;0;0.529;0
wt2d-train-t2d-test;random-forest-default;at-least-in-2;96;0.532;0;0.529;0
wt2d-train-t2d-test;random-forest-default;at-least-in-3;33;0.521;0;0.517;0
wt2d-train-t2d-test;random-forest-default;at-least-in-4;11;0.501;0;0.5;0
wt2d-train-t2d-test;random-forest-default;at-least-in-5;6;0.506;0;0.506;0
wt2d-train-t2d-test;random-forest-default;top-30%;65;0.515;0;0.512;0
wt2d-train-t2d-test;random-forest-default;top-20%;47;0.529;0;0.526;0
wt2d-train-t2d-test;random-forest-default;top-10%;25;0.52;0;0.517;0
wt2d-train-t2d-test;random-forest;union;223;0.519;0;0.515;0
wt2d-train-t2d-test;random-forest;at-least-in-2;102;0.535;0;0.532;0
wt2d-train-t2d-test;random-forest;at-least-in-3;36;0.532;0;0.529;0
wt2d-train-t2d-test;random-forest;at-least-in-4;11;0.489;0;0.488;0
wt2d-train-t2d-test;random-forest;at-least-in-5;4;0.502;0;0.5;0
wt2d-train-t2d-test;random-forest;top-30%;65;0.523;0;0.52;0
wt2d-train-t2d-test;random-forest;top-20%;47;0.526;0;0.523;0
wt2d-train-t2d-test;random-forest;top-10%;25;0.526;0;0.523;0
