dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
t2d;random-forest;random-forest;10;0.707;0.065;0.622;0.069
t2d;random-forest;random-forest;20;0.769;0.071;0.698;0.054
t2d;random-forest;random-forest;30;0.791;0.059;0.709;0.071
t2d;random-forest;random-forest;40;0.774;0.071;0.707;0.079
t2d;random-forest;random-forest;50;0.778;0.056;0.706;0.054
t2d;random-forest;random-forest;60;0.763;0.067;0.689;0.081
t2d;random-forest;random-forest;70;0.761;0.068;0.692;0.072
t2d;random-forest;random-forest;80;0.745;0.073;0.692;0.076
t2d;random-forest;random-forest;90;0.748;0.082;0.695;0.078
t2d;random-forest;random-forest;100;0.748;0.076;0.71;0.057
t2d;random-forest;random-forest;110;0.735;0.088;0.675;0.064
t2d;random-forest;random-forest;120;0.748;0.081;0.681;0.056
t2d;random-forest;random-forest;130;0.732;0.081;0.655;0.073
t2d;random-forest;random-forest;140;0.731;0.074;0.675;0.056
t2d;random-forest;random-forest;150;0.728;0.067;0.675;0.045
t2d;random-forest;random-forest;160;0.728;0.077;0.678;0.071
t2d;random-forest;random-forest;170;0.747;0.062;0.698;0.059
t2d;random-forest;random-forest;180;0.729;0.072;0.68;0.058
t2d;random-forest;random-forest;190;0.75;0.075;0.696;0.074
t2d;random-forest;random-forest;200;0.728;0.082;0.663;0.069
t2d;random-forest;mrmr;10;0.7;0.068;0.654;0.042
t2d;random-forest;mrmr;20;0.732;0.063;0.683;0.054
t2d;random-forest;mrmr;30;0.733;0.069;0.643;0.059
t2d;random-forest;mrmr;40;0.754;0.071;0.689;0.06
t2d;random-forest;mrmr;50;0.742;0.072;0.678;0.059
t2d;random-forest;mrmr;60;0.747;0.073;0.672;0.061
t2d;random-forest;mrmr;70;0.755;0.082;0.675;0.069
t2d;random-forest;mrmr;80;0.743;0.082;0.652;0.062
t2d;random-forest;mrmr;90;0.737;0.065;0.672;0.052
t2d;random-forest;mrmr;100;0.736;0.083;0.663;0.077
t2d;random-forest;mrmr;110;0.737;0.081;0.652;0.066
t2d;random-forest;mrmr;120;0.749;0.077;0.695;0.053
t2d;random-forest;mrmr;130;0.751;0.08;0.687;0.074
t2d;random-forest;mrmr;140;0.752;0.082;0.686;0.083
t2d;random-forest;mrmr;150;0.762;0.083;0.681;0.074
t2d;random-forest;mrmr;160;0.762;0.076;0.698;0.075
t2d;random-forest;mrmr;170;0.76;0.069;0.689;0.078
t2d;random-forest;mrmr;180;0.747;0.067;0.681;0.071
t2d;random-forest;mrmr;190;0.737;0.079;0.669;0.069
t2d;random-forest;mrmr;200;0.745;0.07;0.683;0.057
t2d;random-forest;mutual-info;10;0.622;0.106;0.593;0.09
t2d;random-forest;mutual-info;20;0.601;0.104;0.578;0.073
t2d;random-forest;mutual-info;30;0.704;0.068;0.642;0.061
t2d;random-forest;mutual-info;40;0.712;0.064;0.643;0.061
t2d;random-forest;mutual-info;50;0.759;0.077;0.703;0.07
t2d;random-forest;mutual-info;60;0.733;0.067;0.692;0.047
t2d;random-forest;mutual-info;70;0.72;0.094;0.637;0.076
t2d;random-forest;mutual-info;80;0.756;0.087;0.698;0.049
t2d;random-forest;mutual-info;90;0.736;0.081;0.666;0.06
t2d;random-forest;mutual-info;100;0.728;0.067;0.686;0.066
t2d;random-forest;mutual-info;110;0.718;0.091;0.655;0.082
t2d;random-forest;mutual-info;120;0.732;0.072;0.678;0.062
t2d;random-forest;mutual-info;130;0.74;0.105;0.661;0.095
t2d;random-forest;mutual-info;140;0.735;0.065;0.675;0.062
t2d;random-forest;mutual-info;150;0.738;0.074;0.678;0.074
t2d;random-forest;mutual-info;160;0.747;0.082;0.687;0.075
t2d;random-forest;mutual-info;170;0.757;0.071;0.675;0.072
t2d;random-forest;mutual-info;180;0.711;0.082;0.658;0.079
t2d;random-forest;mutual-info;190;0.739;0.071;0.672;0.077
t2d;random-forest;mutual-info;200;0.757;0.072;0.701;0.055
t2d;random-forest;chi2;10;0.692;0.071;0.649;0.07
t2d;random-forest;chi2;20;0.709;0.059;0.643;0.034
t2d;random-forest;chi2;30;0.69;0.081;0.649;0.056
t2d;random-forest;chi2;40;0.72;0.074;0.684;0.072
t2d;random-forest;chi2;50;0.714;0.072;0.663;0.076
t2d;random-forest;chi2;60;0.703;0.076;0.631;0.07
t2d;random-forest;chi2;70;0.707;0.078;0.651;0.083
t2d;random-forest;chi2;80;0.721;0.076;0.669;0.072
t2d;random-forest;chi2;90;0.722;0.069;0.666;0.072
t2d;random-forest;chi2;100;0.713;0.082;0.663;0.074
t2d;random-forest;chi2;110;0.726;0.081;0.666;0.063
t2d;random-forest;chi2;120;0.715;0.076;0.643;0.07
t2d;random-forest;chi2;130;0.717;0.086;0.663;0.065
t2d;random-forest;chi2;140;0.714;0.065;0.657;0.076
t2d;random-forest;chi2;150;0.73;0.075;0.648;0.064
t2d;random-forest;chi2;160;0.729;0.076;0.66;0.067
t2d;random-forest;chi2;170;0.737;0.078;0.686;0.056
t2d;random-forest;chi2;180;0.737;0.07;0.689;0.051
t2d;random-forest;chi2;190;0.733;0.072;0.677;0.058
t2d;random-forest;chi2;200;0.74;0.085;0.678;0.054
t2d;random-forest;multisurf;10;0.697;0.075;0.642;0.078
t2d;random-forest;multisurf;20;0.722;0.073;0.672;0.062
t2d;random-forest;multisurf;30;0.718;0.079;0.672;0.066
t2d;random-forest;multisurf;40;0.737;0.083;0.698;0.075
t2d;random-forest;multisurf;50;0.725;0.095;0.681;0.087
t2d;random-forest;multisurf;60;0.748;0.088;0.71;0.085
t2d;random-forest;multisurf;70;0.747;0.088;0.701;0.084
t2d;random-forest;multisurf;80;0.743;0.076;0.689;0.058
t2d;random-forest;multisurf;90;0.743;0.075;0.689;0.096
t2d;random-forest;multisurf;100;0.755;0.076;0.698;0.058
t2d;random-forest;multisurf;110;0.742;0.079;0.695;0.078
t2d;random-forest;multisurf;120;0.74;0.065;0.695;0.048
t2d;random-forest;multisurf;130;0.744;0.063;0.678;0.041
